BTPBH,Paro
ECLLD,La Libertad
ECLAM,La Maná
ECLPT,La Puntilla
ECLTR,La Troncal
ECLUN,La Unión
ECLGQ,Lago Agrio
ECLAS,Lasso
ECLAT,Latacunga
ECLOH,Loja
ECMRR,Macará
ECXMS,Macas
ECMAC,Machachi
ECMCH,Machala
ECMEC,Manta
ECMSU,Mariscal Sucre
ECMZD,Mendez
ECMIL,Milagro
ECMTO,Montalvo
ECMTC,Montecristi
ECMTV,Monteverde
ECMOR,Morona
ECNAR,Naranjal
ECNRJ,Naranjito
ECPLQ,Palenque
ECPTL,Palestina
ECPAS,Pasaje
ECPJE,Pasaje
ECPSC,Pascuales
ECPTZ,Pastaza
ECPPI,Patricia Pilar
ECPTE,Paute
ECPDL,Pedernales
ECCAR,Pedro Carbo
ECPEL,Pelileo
ECPIF,Pifo
ECPIN,Piñas
ECPYS,Playas
ECPVL,Portovelo
ECPVO,Portoviejo
ECPSJ,Posorja
ECPRO,Progreso
ECPUV,Pueblo Viejo
ECPUE,Puebloviejo
ECAYO,"Puerto Ayora, Isla Santa Cruz"
ECPBG,Puerto Balao Grande
ECBAQ,Puerto Baquerizo Moreno
ECPBO,Puerto Bolívar
ECPEG,Puerto Egas
ECPFO,Puerto Francisco de Orellana
ECPEV,Puerto Nuevo
ECVIL,"Puerto Villamil, Isla Isabela"
ECPUN,Puná
ECPYO,Putumayo
ECPUY,Puyo
ECQVD,Quevedo
ECQUI,Quinche
ECEQA,Quininde
ECQSA,Quinsaloma
ECUIO,Quito
ECRAB,Rabida Island
ECRBA,Riobamba
ECRMN,Ruminahui
ECSNC,Salinas
ECSAL,Salitre
ECBOD,Samborondon
ECSCS,San Carlos
ECSCY,San Cristóbal
ECSNJ,San Juan
ECSLR,San Lorenzo
ECSAI,Sangolquí
ECWSE,Santa Cecillia
ECSEL,Santa Elena
ECSAR,Santa Rosa
ECSGO,Santo Domingo
ECSDO,Santo Domingo de los Colorados
ECSYM,Seymour
ECSBO,Simón Bolívar
ECSUQ,Sucua
ECTAB,Tabacundo
ECTSC,Taisha
ECTPC,Tarapoa
ECTEN,Tena
ECTGL,Tenguel
ECTEP,Tepre
ECTPN,Tiputini
ECTSL,Tisaleo
ECTUA,Tulcan
ECTUO,Tumbaco
ECTDM,Tundayme
ECVLC,Valencia
ECVHS,Valle Hermoso
ECVEI,Velasco Ibarra
ECVEN,Ventanas
ECVIC,Viche
ECVCS,Vinces
ECVFT,Virgen de Fatima
ECYGU,Yaguachi
ECZTL,Zapotal
ECZPT,Zapotal de Colonche
LOCODE,Name
CIOGO,Abengourou
CIABJ,Abidjan
CIABO,Aboisso
CIADZ,Adzopé
CIAGB,Agboville
CIAFI,Amalfi
CIASS,Assinie-Mafia
CIBAO,Baobab Terminal
CIBGV,Bingerville
CIBDK,Bondoukou
CIBGG,Bongouanou
CIBON,Bonoua
CIBRZ,Borotou
CIBYK,Bouaké
CIBQO,Bouna
CIBXI,Boundiali
CIBUU,Buyo
CICOD,Cocody
CIDAB,Dabou
CIDJO,Daloa
CIDNC,Danane
CIDIM,Dimbokro
CIDIV,Divo
CIDJB,Djibi
CIESP,Espoir
CIFEK,Ferkessédougou
CIFRE,Fresco
CIGGN,Gagnoa
CIGBA,Gbabam
CIGLU,Grand Lahou
CIBBV,Grand-Béréby
CIGUI,Guiembé
CIGGO,Guiglo
CIJAC,Jacqueville
CIKTC,Katiola
CIHGO,Korhogo
CIKOS,Kosagi
CIKOU,Koumassi
CILKT,Lakota
CIMJC,Man
CIMOK,Mankono
CIXMB,M'Bahiakro
CINKL,Nakala
CIKEO,Odienné
CIOFI,Ouango Fitni
CIPBT,Port-Bouët
CISPY,San-Pédro
CIZSS,Sassandra
CISEQ,Seguela
CISGL,Séguéla
CISFR,Sinfra
CITBX,Taabo
CITXU,Tabou
CITIA,Tiassalé
CITGX,Tingrela
CITOZ,Touba
CIVRD,Vridi
CIASK,Yamoussoukro
CIYGN,Yopougon
CIYOA,Yopougon-Attie
CIZUE,Zuenoula
LOCODE,Name
CRABG,Abangares
CRABA,Abangaritos
CRAZA,Aguas Zarcas
CRAGU,Aguas Zarcas
CRAJU,Alajuela
CRALI,Alajuelita
CRATM,Altamira
